Head_Coach,Coach,weight,group,group_count,lrole,tW,tPyW,tg_hc,ftm,ltm,fy_hc,ly_hc,fy_a,ly_a,TYr,nw,pyw500,above500,odo,cord,lodo,lcord
Bill Belichick,Brian Daboll,11,aOC,8,aOC,298,295.37,450,BAL,NE,1991,2022,2000,2016,11,1,1,1,1,0,1,0
Romeo Crennel,Brian Daboll,1,OC,1,OC,32,32.52,95,CLE,KC,2005,2020,2012,2012,1,1,0,0,1,0,1,1
Eric Mangini,Brian Daboll,4,OC,2,OC,33,33.68,80,NYJ,NYJ,2006,2010,2007,2010,4,1,0,0,1,1,1,1
Sean McDermott,Brian Daboll,4,OC,4,OC,62,56.97,97,BUF,BUF,2017,2022,2018,2021,4,1,1,1,1,1,1,1
Tony Sparano,Brian Daboll,1,OC,1,OC,32,31.58,73,MIA,MIA,2008,2014,2011,2011,1,1,0,0,1,1,1,1
Jason Garrett,Matt Eberflus,7,aDC,7,aDC,85,83.23,152,DAL,DAL,2010,2019,2011,2017,7,1,1,1,2,0,2,0
Eric Mangini,Matt Eberflus,2,aDC,2,aDC,33,33.68,80,NYJ,NYJ,2006,2010,2009,2010,2,1,0,0,2,0,2,0
Frank Reich,Matt Eberflus,4,DC,4,DC,40,41.60,75,IND,IND,2018,2022,2018,2021,4,1,1,1,2,1,2,1
Gus Bradley,Nathaniel Hackett,2,aOC,2,aOC,14,17.66,62,JAX,JAX,2013,2016,2015,2016,4,1,0,0,1,0,1,0
Jon Gruden,Nathaniel Hackett,2,aOC,2,aOC,117,117.55,229,TB,LV,1998,2021,2006,2007,2,1,1,1,1,0,1,0
Dick Jauron,Nathaniel Hackett,2,aOC,2,aOC,60,57.61,142,CHI,BUF,1999,2009,2008,2009,2,1,0,0,1,0,1,0
Matt LaFleur,Nathaniel Hackett,3,OC,3,OC,47,39.51,66,GB,GB,2019,2022,2019,2021,3,1,1,1,1,1,1,1
Doug Marrone,Nathaniel Hackett,4,OC,4,OC,38,44.58,98,BUF,JAX,2013,2020,2013,2018,4,1,0,0,1,1,1,1
Gary Kubiak,Mike McDaniel,3,aOC,3,aOC,82,80.68,157,HOU,DEN,2006,2016,2006,2008,3,1,1,1,1,0,1,0
Mike Pettine,Mike McDaniel,1,aOC,1,aOC,10,11.04,32,CLE,CLE,2014,2015,2014,2014,1,1,0,0,1,0,1,0
Dan Quinn,Mike McDaniel,2,aOC,2,aOC,43,44.58,85,ATL,ATL,2015,2020,2015,2016,2,1,1,0,1,0,1,0
Kyle Shanahan,Mike McDaniel,5,aOC,4,OC,52,54.83,98,SF,SF,2017,2022,2017,2021,5,1,1,1,1,0,1,1
Mike Shanahan,Mike McDaniel,4,aOC,3,aOC,170,167.23,308,DEN,WAS,1988,2013,2005,2013,4,1,1,1,1,0,1,0
Jay Gruden,Kevin O'Connell,3,aOC,2,OC,35,34.51,85,WAS,WAS,2014,2019,2017,2019,3,1,0,0,1,0,1,1
Chip Kelly,Kevin O'Connell,1,aOC,1,aOC,28,29.25,63,PHI,SF,2013,2016,2016,2016,1,1,0,0,1,0,1,0
Sean McVay,Kevin O'Connell,2,OC,2,OC,60,57.95,98,LA,LA,2017,2022,2020,2021,2,1,1,1,1,1,1,1
Mike Pettine,Kevin O'Connell,1,aOC,1,aOC,10,11.04,32,CLE,CLE,2014,2015,2015,2015,1,1,0,0,1,0,1,0
Kyle Shanahan,DeMeco Ryans,6,aDC,4,DC,52,54.83,98,SF,SF,2017,2022,2017,2022,7,1,1,1,2,0,2,1
Norv Turner,Shane Steichen,2,aDC,2,aDC,114,124.73,237,LAC,LAC,1994,2012,2011,2012,2,1,1,0,2,0,2,0
Rob Chudzinski,Shane Steichen,1,aOC,1,aOC,4,5.47,16,CLE,CLE,2013,2013,2013,2013,1,1,0,0,1,0,1,0
Mike McCoy,Shane Steichen,3,aOC,3,aOC,27,30.90,64,LAC,LAC,2013,2016,2014,2016,3,1,0,0,1,0,1,0
Anthony Lynn,Shane Steichen,4,aOC,3,OC,33,35.66,64,LAC,LAC,2017,2020,2017,2020,4,1,1,1,1,0,1,1
Nick Sirianni,Shane Steichen,2,OC,2,OC,23,21.56,34,PHI,PHI,2021,2022,2021,2022,2,1,1,1,1,1,1,1
Bobby Petrino,Jonathan Gannon,1,aDC,1,aDC,3,3.03,13,ATL,ATL,2007,2007,2007,2007,1,1,0,0,2,0,2,0
Steve Spagnuolo,Jonathan Gannon,3,Scout,3,Scout,11,11.67,52,LA,LA,2009,2011,2009,2011,3,1,0,0,3,0,3,0
Mike Munchak,Jonathan Gannon,2,aDC,2,aDC,22,20.57,48,TEN,TEN,2011,2013,2012,2013,2,1,0,0,2,0,2,0
Mike Zimmer,Jonathan Gannon,4,aDC,4,aDC,72,72.25,129,MIN,MIN,2014,2021,2014,2017,4,1,1,1,2,0,2,0
Frank Reich,Jonathan Gannon,3,aDC,3,aDC,40,41.60,75,IND,IND,2018,2022,2018,2020,3,1,1,1,2,0,2,0
Nick Sirianni,Jonathan Gannon,2,DC,2,DC,23,21.56,34,PHI,PHI,2021,2022,2021,2022,2,1,1,1,2,1,2,1
